group_label,agent,model,runs,tasks,axis,value,label
terminus-3-3 / claude-opus-4-6@anthropic,terminus-3-3,claude-opus-4-6@anthropic,442,89,success,1.0,Success
terminus-3-3 / gemini-3.1-pro-preview@Google,terminus-3-3,gemini-3.1-pro-preview@Google,445,89,success,0.9992,Success
judy / claude-opus-4.6@anthropic,judy,claude-opus-4.6@anthropic,445,89,success,0.9586,Success
deepagent-harbor / gpt-5.2-codex@openai,deepagent-harbor,gpt-5.2-codex@openai,433,89,success,0.8996,Success
terminus-2 / claude-opus-4-6@anthropic,terminus-2,claude-opus-4-6@anthropic,445,89,success,0.8335,Success
claude-code / claude-opus-4-6@anthropic,claude-code,claude-opus-4-6@anthropic,445,89,success,0.7648,Success
terminus-2 / claude-opus-4-5-20251101@anthropic,terminus-2,claude-opus-4-5-20251101@anthropic,445,89,success,0.7616,Success
terminus-2 / gemini-3-pro-preview@gemini,terminus-2,gemini-3-pro-preview@gemini,445,89,success,0.7491,Success
terminus-2 / gpt-5.2@openai,terminus-2,gpt-5.2@openai,444,89,success,0.7102,Success
terminus-2 / glm-5@z-ai,terminus-2,glm-5@z-ai,442,89,success,0.6853,Success
claude-code / claude-opus-4-5-20251101@anthropic,claude-code,claude-opus-4-5-20251101@anthropic,445,89,success,0.6835,Success
openhands / claude-opus-4-5-20251101@anthropic,openhands,claude-opus-4-5-20251101@anthropic,445,89,success,0.6804,Success
terminus-2 / gemini-3-flash-preview@gemini,terminus-2,gemini-3-flash-preview@gemini,445,89,success,0.6772,Success
codex / gpt-5@openai,codex,gpt-5@openai,439,89,success,0.6459,Success
terminus-2 / gpt-5.1@openai,terminus-2,gpt-5.1@openai,445,89,success,0.621,Success
codex / gpt-5-codex@openai,codex,gpt-5-codex@openai,436,89,success,0.574,Success
terminus-2 / gpt-5-codex@openai,terminus-2,gpt-5-codex@openai,437,89,success,0.5726,Success
openhands / gpt-5@openai,openhands,gpt-5@openai,445,89,success,0.5678,Success
terminus-2 / claude-sonnet-4-5-20250929@anthropic,terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,success,0.5589,Success
mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,success,0.5499,Success
openhands / claude-sonnet-4-5-20250929@anthropic,openhands,claude-sonnet-4-5-20250929@anthropic,443,89,success,0.5486,Success
terminus-2 / minimax-m2.5@Minimax,terminus-2,minimax-m2.5@Minimax,445,89,success,0.5459,Success
mini-swe-agent / gpt-5-codex@openai,mini-swe-agent,gpt-5-codex@openai,444,89,success,0.5347,Success
claude-code / claude-sonnet-4-5-20250929@anthropic,claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,success,0.5089,Success
terminus-2 / deepseek-v3.2@deepseek,terminus-2,deepseek-v3.2@deepseek,445,89,success,0.5084,Success
terminus-2 / claude-opus-4-1-20250805@anthropic,terminus-2,claude-opus-4-1-20250805@anthropic,443,89,success,0.4889,Success
openhands / claude-opus-4-1-20250805@anthropic,openhands,claude-opus-4-1-20250805@anthropic,445,89,success,0.4709,Success
terminus-2 / gpt-5.1-codex@openai,terminus-2,gpt-5.1-codex@openai,445,89,success,0.4709,Success
claude-code / minimax-m2.1@minimax,claude-code,minimax-m2.1@minimax,445,89,success,0.4678,Success
terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,success,0.4573,Success
